Treatment,Muestra,Total_distance,Speed,Seconds,Dis_in_15fra,Frames,For_use,From_center,Treatment_complete
Ctrl_72hpf,larva8,8.82885070576923,16.204172930769232,0.5333333333333333,8.828850704101782,16.0,1,7.839647738416414,Ctrl_Exp3_72
Ctrl_72hpf,larva9,9.291005114486268,30.97001704828756,0.3,17.680753563271615,9.0,0,8.389748448785348,Ctrl_Exp3_72
Ctrl_72hpf,larva10,5.525560437368535,16.576681312105606,0.3333333333333333,10.887830690938383,10.0,0,5.362270253569852,Ctrl_Exp3_72
EtOH_72hpf,larva3,52.80212184423077,14.762959101923077,3.433333333333333,4.326395574135571,103.0,1,5.9100379870587725,EtOH_Exp3_72
EtOH_72hpf,larva1,9.039264732586725,30.130882441955745,0.3,16.724472220401815,9.0,0,7.685207487815093,EtOH_Exp3_72
EtOH_72hpf,larva2,4.29405177820104,19.602472050530405,0.23333333333333334,8.319718704681787,7.0,0,4.025666926480747,EtOH_Exp3_72
EtOH_72hpf,larva4,19.478061307692307,18.692227782692306,1.2,8.718914190461497,36.0,1,3.7109337931072974,EtOH_Exp3_72
EtOH_72hpf,larva5,20.291866096153846,22.099132361538462,0.9,12.115010291217454,27.0,1,7.334353582099393,EtOH_Exp3_72
EtOH_72hpf,larva6,13.275547263461537,49.78330224230769,0.26666666666666666,24.580230835922084,8.0,0,11.30468357097295,EtOH_Exp3_72
EtOH_72hpf,larva7,14.394974675253861,12.6885779551512,1.1333333333333333,7.654488607444658,34.0,1,6.058396615306356,EtOH_Exp3_72
EtOH_72hpf,larva8,21.505108653846154,15.57463618846154,1.7333333333333334,10.185540655841395,52.0,1,2.61954420192574,EtOH_Exp3_72
EtOH_72hpf,larva9,8.46824495999566,63.511837199967445,0.16666666666666666,16.715581912257818,5.0,0,8.247336952262161,EtOH_Exp3_72
EtOH_72hpf,larva10,26.799139884615386,20.25684126923077,1.2,13.761113735975266,36.0,1,6.764879047437933,EtOH_Exp3_72
EtOH_72hpf,larva1,14.022812928466548,9.371012437290744,1.5666666666666667,5.943722424297732,47.0,1,12.42285398725412,EtOH_Exp2_72
EtOH_72hpf,larva3,4.186448863326235,30.063598951833587,0.16666666666666666,8.258796820664092,5.0,0,4.072347957337857,EtOH_Exp2_72
EtOH_72hpf,larva2,11.468777466609177,16.743636881124953,0.6,10.991845079716757,18.0,1,7.387087573232996,EtOH_Exp2_72
EtOH_72hpf,larva4,37.82141559615384,24.6379563,1.9666666666666666,16.261432942536167,59.0,1,10.72095208779724,EtOH_Exp2_72
EtOH_72hpf,larva5,20.58492099765175,38.29921285418223,0.5333333333333333,20.58492099765175,16.0,1,9.865494776268484,EtOH_Exp2_72
EtOH_72hpf,larva6,36.829409019230766,22.76858896153846,1.5666666666666667,15.887268062718814,47.0,1,10.690337411755229,EtOH_Exp2_72
EtOH_72hpf,larva7,11.622914115191907,11.255175067267665,1.3666666666666667,11.62291411519191,41.0,1,11.31580167324451,EtOH_Exp2_72
EtOH_72hpf,larva8,6.545588776923077,13.091177555769232,0.5,6.545588776869209,15.0,1,6.366603667676351,EtOH_Exp2_72
EtOH_72hpf,larva9,11.595867071099653,18.647583151489428,0.7333333333333333,22.210076941495934,22.0,0,10.614209870396284,EtOH_Exp2_72
EtOH_72hpf,larva10,26.556195463276985,18.5834054923173,1.6333333333333333,9.855683365644538,49.0,1,10.277976621479924,EtOH_Exp2_72
